Timestamp,Sub_0,Sub_1,Sub_2,Sub_3,Sub_4,Sub_5,Sub_6,Sub_7,Sub_8,Sub_9,Sub_10,Sub_11,Sub_12,Sub_13,Sub_14,Sub_15,Sub_16,Sub_17,Sub_18,Sub_19,Sub_20,Sub_21,Sub_22,Sub_23,Sub_24,Sub_25,Sub_26,Sub_27,Sub_28,Sub_29,Sub_30,Sub_31,Sub_32,Sub_33,Sub_34,Sub_35,Sub_36,Sub_37,Sub_38,Sub_39,Sub_40,Sub_41,Sub_42,Sub_43,Sub_44,Sub_45,Sub_46,Sub_47,Sub_48,Sub_49,Sub_50,Sub_51
17:28:09.104,4.242640687119285,6.324555320336759,12.206555615733702,17.804493814764857,22.02271554554524,26.40075756488817,28.0178514522438,29.68164415931166,28.653097563788805,29.068883707497267,26.0,23.40939982143925,18.681541692269406,13.341664064126334,8.246211251235321,3.605551275463989,2.8284271247461903,6.708203932499369,10.295630140987,13.892443989449804,15.811388300841896,17.029386365926403,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.23606797749979,8.602325267042627,9.899494936611665,12.806248474865697,16.401219466856727,18.601075237738275,20.808652046684813,23.600847442411894,24.20743687382041,24.839484696748443,24.839484696748443,24.839484696748443,22.02271554554524,19.209372712298546,15.264337522473747,10.770329614269007,9.055385138137417,9.219544457292887,12.083045973594572,16.492422502470642
17:28:09.111,5.0,7.615773105863909,12.806248474865697,18.384776310850235,22.627416997969522,26.870057685088806,29.0,29.732137494637012,29.832867780352597,29.410882339705484,27.459060435491963,24.186773244895647,20.12461179749811,14.317821063276353,9.848857801796104,4.47213595499958,2.23606797749979,5.385164807134504,9.486832980505138,12.649110640673518,14.317821063276353,16.1245154965971,3.605551275463989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.23606797749979,7.810249675906654,9.899494936611665,12.206555615733702,15.264337522473747,17.4928556845359,20.248456731316587,22.47220505424423,23.021728866442675,24.413111231467404,24.413111231467404,23.600847442411894,20.808652046684813,18.027756377319946,13.892443989449804,10.44030650891055,7.280109889280518,7.810249675906654,11.40175425099138,16.0312195418814
17:28:09.111,6.082762530298219,8.602325267042627,13.601470508735444,20.615528128088304,25.709920264364882,29.832867780352597,32.28002478313795,33.52610922848042,34.17601498127012,32.69556544854363,29.966648127543394,26.419689627245813,22.47220505424423,16.401219466856727,10.0,5.0,2.23606797749979,6.082762530298219,10.44030650891055,14.317821063276353,16.1245154965971,18.027756377319946,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4142135623730951,8.54400374531753,10.198039027185569,13.038404810405298,17.0,20.024984394500787,22.02271554554524,24.020824298928627,26.0,27.0,27.018512172212592,26.019223662515376,23.021728866442675,20.0,15.033296378372908,11.704699910719626,7.810249675906654,9.0,13.92838827718412,18.35755975068582
17:28:09.119,5.656854249492381,7.615773105863909,12.806248474865697,17.69180601295413,22.627416997969522,26.870057685088806,29.0,30.479501308256342,30.610455730027933,29.410882339705484,26.92582403567252,24.596747752497688,19.697715603592208,14.866068747318506,9.486832980505138,4.123105625617661,1.4142135623730951,5.0990195135927845,9.219544457292887,12.649110640673518,15.231546211727817,16.55294535724685,3.605551275463989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4142135623730951,7.0710678118654755,8.602325267042627,12.083045973594572,15.231546211727817,17.46424919657298,20.615528128088304,21.93171219946131,23.259406699226016,23.706539182259394,24.186773244895647,24.186773244895647,21.470910553583888,17.88854381999832,13.92838827718412,10.04987562112089,8.54400374531753,9.433981132056603,13.152946437965905,18.0
17:28:09.126,4.123105625617661,6.0,11.704699910719626,17.08800749063506,22.135943621178654,26.248809496813376,28.160255680657446,29.832867780352597,29.614185789921695,28.284271247461902,26.076809620810597,23.021728866442675,19.026297590440446,14.035668847618199,9.055385138137417,3.1622776601683795,2.23606797749979,7.0710678118654755,11.313708498984761,13.45362404707371,16.401219466856727,17.204650534085253,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.23606797749979,8.246211251235321,9.848857801796104,13.892443989449804,16.64331697709324,19.4164878389476,21.633307652783937,23.021728866442675,24.698178070456937,25.553864678361276,25.553864678361276,25.059928172283335,22.825424421026653,18.867962264113206,15.0,11.313708498984761,9.219544457292887,9.486832980505138,12.041594578792296,17.204650534085253
17:28:09.133,4.123105625617661,6.324555320336759,11.661903789690601,17.4928556845359,21.95449840010015,26.419689627245813,29.068883707497267,29.966648127543394,29.154759474226502,28.792360097775937,27.202941017470888,23.53720459187964,19.235384061671343,14.142135623730951,9.055385138137417,3.1622776601683795,2.8284271247461903,6.708203932499369,10.295630140987,13.892443989449804,15.811388300841896,17.804493814764857,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.23606797749979,8.246211251235321,9.848857801796104,13.416407864998739,16.64331697709324,18.867962264113206,21.633307652783937,23.853720883753127,24.698178070456937,25.553864678361276,25.059928172283335,25.059928172283335,22.825424421026653,18.867962264113206,15.0,10.63014581273465,8.246211251235321,8.54400374531753,12.041594578792296,17.0
17:28:09.141,4.242640687119285,7.280109889280518,13.038404810405298,17.804493814764857,22.80350850198276,27.80287754891569,30.0,31.064449134018133,30.528675044947494,29.5296461204668,27.730849247724095,24.698178070456937,19.924858845171276,15.524174696260024,9.219544457292887,4.47213595499958,2.23606797749979,5.385164807134504,9.848857801796104,13.416407864998739,15.264337522473747,16.64331697709324,4.242640687119285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.615773105863909,9.433981132056603,12.806248474865697,15.556349186104045,18.384776310850235,21.213203435596427,22.627416997969522,24.041630560342615,24.758836806279895,25.495097567963924,24.08318915758459,21.2602916254693,18.384776310850235,14.866068747318506,10.295630140987,7.0,7.810249675906654,11.180339887498949,16.492422502470642
17:28:09.144,5.0,7.0710678118654755,12.529964086141668,17.4928556845359,22.47220505424423,26.076809620810597,29.154759474226502,29.5296461204668,29.966648127543394,29.154759474226502,27.51363298439521,23.769728648009426,20.396078054371138,15.132745950421556,9.055385138137417,4.0,1.4142135623730951,5.385164807134504,9.848857801796104,12.083045973594572,14.7648230602334,15.811388300841896,3.605551275463989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.708203932499369,8.602325267042627,11.40175425099138,14.866068747318506,17.69180601295413,19.79898987322333,21.93171219946131,22.67156809750927,23.430749027719962,23.430749027719962,23.430749027719962,21.2602916254693,17.69180601295413,13.45362404707371,10.295630140987,8.0,9.219544457292887,12.529964086141668,17.72004514666935
17:28:09.155,4.47213595499958,7.0710678118654755,13.416407864998739,19.313207915827967,24.698178070456937,29.154759474226502,31.78049716414141,32.202484376209235,33.12099032335839,31.906112267087632,29.410882339705484,26.248809496813376,21.213203435596427,15.556349186104045,9.219544457292887,3.605551275463989,3.0,7.0710678118654755,12.165525060596439,15.132745950421556,18.027756377319946,19.026297590440446,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.23606797749979,8.94427190999916,11.40175425099138,14.317821063276353,18.24828759089466,21.213203435596427,24.186773244895647,26.30589287593181,27.459060435491963,27.65863337187866,28.635642126552707,27.65863337187866,24.515301344262525,21.213203435596427,17.029386365926403,13.152946437965905,10.0,10.44030650891055,15.033296378372908,19.4164878389476
17:28:09.161,5.0,6.708203932499369,12.806248474865697,18.601075237738275,24.413111231467404,29.410882339705484,31.400636936215164,32.64965543462902,32.55764119219941,31.827660925679098,29.068883707497267,26.40075756488817,21.633307652783937,15.264337522473747,8.94427190999916,3.605551275463989,2.0,7.0,12.0,15.033296378372908,18.24828759089466,18.681541692269406,5.0990195135927845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.23606797749979,9.219544457292887,10.816653826391969,14.317821063276353,17.46424919657298,20.615528128088304,23.769728648009426,25.079872407968907,26.40075756488817,27.730849247724095,28.178005607210743,26.832815729997478,24.596747752497688,20.615528128088304,16.76305461424021,13.038404810405298,9.848857801796104,10.816653826391969,14.317821063276353,20.0
